Entry Number ,Region ,Seeker,Supplier,Paltform Model,Platform  Type,Year of Interest ,Year of Order,Year of First Delivery,"Year of  Identification, Completion, or Cancellation",Status,Source 1,Source 2,Source 3,Comments
348,Central,Saudi Arabia,Turkey,Karayel,Armed UAV,,2020.0,2020.0,2022.0,Yes,SIPRI,Janes,UNROCA,
349,Europe,Switzerland,United States,Indago 3,UAV,,2020.0,,,Pending,Janes,LMCO,,"Janes reports delivery would begin end of 2020, but no follow-on reporting indicating contract was completed"
350,Africa,Tunisia,Turkey,ANKA-S,UAV,,2020.0,2021.0,2023.0,Yes,SIPRI,Military Africa,,
351,Central,Turkmenistan,Israel,SkyStriker,Loitering Munition,,2020.0,2021.0,2021.0,Yes,SIPRI,Janes,Oryx,Seen in 2021 military parade
352,Central,Turkmenistan,Turkey,Bayraktar TB-2,Armed UAV,,2020.0,2021.0,2021.0,Yes,SIPRI,,,
353,Central,Turkmenistan,United States,ScanEagle-2,UAV,,2020.0,2021.0,2021.0,Yes,SIPRI,,,"SIPRI Comments: ""For use on C-92 (Deniz Han) frigate"" "
354,Africa,Uganda,United States,Aerosonde,UAV,,2020.0,,2021.0,Additional Sources Required,defenceweb,,,MK 4.7; est. completion in Sept 2021
355,Europe,Ukraine,Turkey,Bayraktar TB-2,Armed UAV,,2020.0,2022.0,,Yes,SIPRI,,,"SIPRI Comments: ""Incl. production under license in Ukraine"""
356,Central,United Arab Emirates,South Africa,Seeker-400,Armed UAV,,2020.0,,,Pending,SIPRI,,,"SIPRI Comments: ""AED 26m deal"""
357,Europe,United Kingdom,United States,Protector CPB,Armed UAV,,2020.0,2022.0,,Yes,SIPRI,,,"SIPRI Comments: ""GBP 260m ($305m) deal; part of GBP 415m ($607m) Protector program; certifiable Protector-B version; UK designation Protector RG-1; delivery ongoing"" "
358,Africa,Algeria,China,Wing Loong-II,Armed UAV,,2021.0,,2023.0,Yes,Twitter,DefenseWeb,ORYX,"Delivery has been delayed since order in 2021, but Twitter post suggests some have been delivered"
359,Indo-Pacific,Australia,Austria,Camcopter S-100,UAV,,2021.0,,2023.0,No,Australian Defense ,Naval News,SIPRI,"Extension of 2016 contract; canceled in 2023
SIPRI Comments: ""extended 2021 for 3 more years."""
360,Europe,Belgium,United States,RQ-21 Integrator,UAV,,2021.0,2022.0,2022.0,Yes,SIPRI,Insitu,,"From Insitu:""In April 2021, the Benelux countries (Belgium, the Netherlands, and Luxembourg) signed a memorandum of understanding for the acquisition of seven RQ-21 Integrator systems, also known as Integrator X-300."" "
361,South America,Brazil,Israel,Hermes-900,UAV,,2021.0,,,Pending,SIPRI,,,"SIPRI Comments: ""Brazilian designation RQ-900; delivery planned by 2023"" "
362,Africa,Burkina Faso ,Turkey,Bayraktar TB-2,Armed UAV,,2021.0,2022.0,2023.0,Yes,SIPRI,,,
363,Africa,Cote d'Ivoire,France,Delair DT-26,UAV,,2021.0,,2022.0,Yes,Military Africa,defenceWeb,,
364,Africa,Ethiopia,China,Wing Loong-I,Armed UAV,,2021.0,,2021.0,Yes,SIPRI,,,"SIPRI Comments: ""unknown supplier"""
365,Africa,Ethiopia,Turkey,Bayraktar TB-2,Armed UAV,,2021.0,,2021.0,Yes,SIPRI,,,
366,Europe,France,United States,MQ-9 Reaper,Armed UAV,,2021.0,,,Pending,SIPRI,,,"SIPRI Comments: ""MQ-9 Block-5 version; delivery probably planned by 2024"""
367,Europe,Germany,Israel,Heron,UAV,,2021.0,,2021.0,Yes,SIPRI,,,"SIPRI Comments: ""Lease for use with German EU peacekeeping forces in Mali"""
368,Europe,Germany,Sweden,Skeldar V-200,UAV,,2021.0,,,Pending,SIPRI,,,"SIPRI Comments: ""'AlmEG program; Sea Falcon version; incl. production of components in Germany; for use on K-130 frigates; incl. 4 for training; delivery planned by 2025; version unknown"" "
369,Europe,Greece,Israel,Heron-MP,UAV,,2021.0,,2021.0,Yes,SIPRI,,,"SIPRI Comments: ""Lease; maritime patrol UAV"""
370,Europe,Greece,Spain,Alpha 900,UAV,,2021.0,,,Pending,SIPRI,,,
371,Indo-Pacific,India,Israel,Heron-TP,Armed UAV,2020.0,2021.0,,2021.0,Yes,SIPRI,Janes,,"SIPRI Comments: ""Lease"""
372,Indo-Pacific,India,Israel,SkyStriker,Loitering Munition,,2021.0,,,Pending,SIPRI,,,"SIPRI Comments: ""INRI 1b ($14m) deal"""
373,Central,Iraq,Turkey,Bayraktar TB-2,Armed UAV,,2021.0,,,Pending,SIPRI,,,
374,Central,Kazakhstan,Turkey,ANKA-S,Armed UAV,2020.0,2021.0,2022.0,2023.0,Yes,SIPRI ,Daily Sabah,Janes,
375,Central,Kyrgyzstan,Turkey,Bayraktar TB-2,Armed UAV,,2021.0,2021.0,2022.0,Yes,SIPRI,,,
376,Central,Kyrgyzstan,Russia,Orlan-10E,UAV,,2021.0,,,Pending,Oryx,The Diplomat,,
377,Europe,Luxembourg,United States,RQ-21 Integrator,UAV,,2021.0,,2022.0,Yes,Oryx,Insitu,,"From Insitu: ""In April 2021, the Benelux countries (Belgium, the Netherlands, and Luxembourg) signed a memorandum of understanding for the acquisition of seven RQ-21 Integrator systems, also known as Integrator X-300.""
 SIPRI records Belgium's as delivered, so safe to assume Lux has been as well. "
378,Africa,Morocco,Turkey,Bayraktar TB-2,Armed UAV,,2021.0,,2021.0,Yes,SIPRI,,,
379,Africa,Morocco,Israel,SpyX,Loitering Munition,,2021.0,,,Pending,Oryx,Atalayar,,"SIPRI Comments: ""MAD 626m ($70m) deal"""
380,Africa,Morocco,Israel,ThunderB,UAV,,2021.0,,,Pending,SIPRI,The Intercept,,
381,Africa,Morocco,Turkey,Bayraktar TB-2,Armed UAV,,2021.0,,,Pending,Forbes,Morocco World News,,Reportedly ordered a 2nd batch in Dec 2021
382,Indo-Pacific,Myanmar,Russia,Orlan-10E,UAV,,2021.0,,,Pending,Asian Military Review,Janes,,
383,Europe,Netherlands,United States,RQ-21 Integrator,UAV,,2021.0,,2022.0,Yes,Insitu,,,"From Insitu: ""In April 2021, the Benelux countries (Belgium, the Netherlands, and Luxembourg) signed a memorandum of understanding for the acquisition of seven RQ-21 Integrator systems, also known as Integrator X-300.""
SIPRI records Belgium's as delivered, can assume same for Netherlands"
384,Africa,Niger,Turkey,Bayraktar TB-2,Armed UAV,,2021.0,,2022.0,Yes,SIPRI ,Military Africa,,
385,Africa,Nigeria,Turkey,Songar,Armed UAV,,2021.0,,2022.0,Yes,Oryx,DefenceWeb,,
386,Central,Pakistan,Turkey,Bayraktar TB-2,Armed UAV,,2021.0,2022.0,,Yes,SIPRI,Shepard Media,Daily Pakistan,"Most recent delivery was in 2023, per SIPRI"
387,Europe,Poland,Turkey,Bayraktar TB-2,Armed UAV,,2021.0,2022.0,,Yes,SIPRI,Oryx,,"SIPRI Comments: ""$268m deal; delivery planned 2022–2024;"" most recent delivery was 2023"
388,Central,Qatar,Turkey,Bayraktar Mini ,UAV,,2021.0,2022.0,,Yes,Oryx,Hürriyet Daily News,Aze.Media,"From Hürriyet: ""This $2.5 million sale will become the first export of SUAVs by Turkey, and they will also be the first drones in Qatar’s inventory""; Has not made a public appearance in Qatar so difficult to confirm delivery "
389,Indo-Pacific,Singapore,Israel,Harop,Loitering Munition,,2021.0,,,Additional Sources Required,Defense News,,,"Reports begin to surface in 2021, though no firm disclosure of sale has been made; Singapore is the presumed client, though not confirmed "
390,Central,Tajikisatan ,Iran,Ababil-2,UAV,,2021.0,,2022.0,Yes,SIPRI,Oryx,Eurasia Daily Monitor,"SIPRI Comments: ""Produced under license in Tajikistan; factory opened in May 2022"""
391,Central,Tajikisatan ,Iran,Ababil-2T,Loitering Munition,,2021.0,2022.0,,Yes,SIPRI,Oryx,,"SIPRI Comments: ""Produced under license in Tajikistan"""
392,Indo-Pacific,Thailand,United States,RQ-21 Blackjack,UAV,,2021.0,2022.0,2022.0,Yes,SIPRI,Naval News,,
393,Africa,Togo,Turkey,Bayraktar TB-2,Armed UAV,,2021.0,2022.0,2022.0,Yes,SIPRI,Military Africa,,
394,Central,United Arab Emirates,South Africa,Seeker-400,Armed UAV,,2021.0,,,Pending,SIPRI,,,"SIPRI Comments: ""AED 50m deal; for Presidential Guard"""
395,Europe,United Kingdom,United States,MQ-9 Reaper,Armed UAV,,2021.0,,2021.0,Yes,SIPRI,,,"SIPRI Comments:  ""$13m deal"""
396,Europe,United Kingdom,United States,Switchblade 300,Loitering Munition,,2021.0,,2021.0,Yes,FlightGlobal,Breaking Defense,,
397,South America,Venezuela,Iran,Mohajer-6,Armed UAV,,2021.0,,,Pending,USIP,US Treasury,,"From USIP: By 2021, Iran reportedly sold Venezuela the more advanced Mohajer-6. U.S. Treasury; more recently, QAI has engaged with senior Caracas officials on the sale of Mohajer-6 UAVs and aircraft to Venezuela"
398,Europe,Albania,Turkey,Bayraktar TB-2,Armed UAV,,2022.0,,,Pending,SIPRI,Twitter,AP,Images online show images preparing for induction (Jan 2024)
399,Africa,Algeria,Turkey,Askungur,Armed UAV,,2022.0,,,Pending,SIPRI,MilitaryAfrica,,Delivery status unclear
400,Africa,Algeria,China,CH-5,Armed UAV,,2022.0,,,Additional Sources Required,Army Recognition,Mena Defense,South China Morning Post,"No corroborating information has been found, though multiple sources report Algeria operates CH-5s"
401,South America,Argentina,Israel,Hero-120,Loitering Munition,,2022.0,,,Pending,Janes,Forbes,,
402,South America,Argentina,Israel,Hero-30,Loitering Munition,,2022.0,,,Pending,Janes,Forbes,,
403,Indo-Pacific,Australia,Israel,Skylark I-LEX,UAV,,2022.0,,,Pending,Janes,,,
404,Indo-Pacific,Australia,United States,Integrator,UAV,,2022.0,,,Pending,Insitu,Shepard Media,,"Selected in March 2022 for the Army’s Project LAND 129 Phase 3 tactual UAS requirement, the Integrator is a growth development of the smaller ScanEagle UAS"
405,Indo-Pacific,Australia,United States,RQ-21 Blackjack,UAV,,2022.0,,,Pending,SIPRI,,,"SIPRI Comments: ""AUD 16b ($13.5b) Project Air-6000 (incl. production of components in Australia); delivery planned 2014–2023"" "
406,Europe,Azerbaijan,Turkey,Akinci,Armed UAV,,2022.0,2023.0,2023.0,Yes,SIPRI,Oryx,,
407,Central,Bahrain,Israel,Unnamed System,UAV,,2022.0,,,Additional Sources Required,Times of Israel,Wall Street Journal,,WSJ reporting from a senior Bahraini official; no subsequent information found
408,Indo-Pacific,Bangladesh,Turkey,Bayraktar TB-2,Armed UAV,,2022.0,2023.0,,Yes,SIPRI,EurasianTimes,,"From EurAsian Times: ""Prothom Alo, a Bangladesh-based daily newspaper, cited Turkey’s ambassador to Bangladesh, Mustafa Osman Tufan, as saying that the Bangladeshi government had signed a contract to buy the UCAVs."" "
409,South America,Brazil,United States,V-BAT 128,UAV,,2022.0,,,Pending,UST,,,
410,Europe,Czechia,Israel,Heron I ,UAV,,2022.0,,2023.0,No,SIPRI,Janes,,"Made deal to purchase 3 IAI Heron 1; pulled out in May 2023 and has instead decided to acquire “200 small UAV systems"""
411,Africa,Djibouti ,Turkey,Bayraktar TB-2,Armed UAV,,2022.0,,2022.0,Yes,SIPRI ,Military Africa,Twitter,
412,Africa,Ethiopia,Turkey,Akinci,Armed UAV,,2022.0,2023.0,,Yes,SIPRI,Oryx,Overt Defense,"SIPRI Comments: ""Akinci-A version; delivery planned 2024""; completed in January 2024 (beyond the timeframe of the dataset) "
413,Europe,Georgia,Poland,Warmate,Loitering Munition,,2022.0,2023.0,,Yes,SIPRI,,,"SIPRI Comments: ""Produced under license in Georgia"""
414,Europe,Greece,United States,MQ-9B SeaGuardian,UAV,,2022.0,,,Pending,Oryx,The Defense Post,,
415,Indo-Pacific,India,Austria,Camcopter S-100,UAV,,2022.0,2023.0,,Yes,Janes,Raksha Anirveda,,
416,Indo-Pacific,India,Israel,Heron 2,UAV,,2022.0,2022.0,,Yes,SIPRI,,,"Most recent delivery was in 2023, per SIPRI"
417,Europe,Italy,Israel,Hero-30,Loitering Munition,,2022.0,,,Pending,DefenseNews,Forbes,,Forbes article suggested systems have been delivered
418,Central,Kazakhstan,Turkey,ANKA-S,Armed UAV,,2022.0,,,Pending,SIPRI,,,"SIPRI Comments: ""Assembled/produced under license in Kazakhstan; delivery planned from 2024"""
419,Europe,Kosovo,United States,RQ-20 Puma LE,UAV,,2022.0,,,Additional Sources Required,Shepard Media,,,
420,Central,Kyrgyzstan,Turkey,Akinci,Armed UAV,,2022.0,,2022.0,Yes,SIPRI,Oryx,The Diplomat,"SIPRI Comments: ""Akinci-A version"""
421,Central,Kyrgyzstan,Turkey,Askungur,Armed UAV,,2022.0,2023.0,2023.0,Yes,SIPRI,Turkish News,,
422,Central,Kyrgyzstan,Turkey,ANKA,Armed UAV,,2022.0,,,Pending,SIPRI,,,
423,Europe,Lithuania,United States,Switchblade 600,Loitering Munition,,2022.0,,,Pending,SIPRI,Ministry of National Defence,DefenseNews,
424,Africa,Mali ,Turkey,Bayraktar TB-2,Armed UAV,,2022.0,2022.0,,Yes,SIPRI ,Janes,,"Most recent delivery was in 2023, per SIPRI"
425,Europe,Moldova,Germany,Unnamed System,UAV,,2022.0,,,Pending,Radio Moldova,Radio Free Europe,,No specific model identified
426,Africa,Morocco,China,Wing Loong-II,Armed UAV,,2022.0,,2023.0,Yes,Morocco World News,Atalayar,,
427,Africa,Nigeria,China,AR-500,UAV,,2022.0,,2022.0,Yes,SIPRI,,,"SIPRI Comments: ""AR-500B Version"""
428,Africa,Nigeria,Turkey,Bayraktar TB-2,Armed UAV,,2022.0,2022.0,,Yes,SIPRI,DefenceWeb,Twitter,SIPRI reports delivery to still be pending; some photo evidence on Twitter that some TB-2 systems may have been delivered. 
429,Africa,Nigeria,Turkey,Delta ,UAV,,2022.0,,,Additional Sources Required,Military Africa,,,
430,Central,Pakistan,Turkey,Akinci,Armed UAV,,2022.0,2023.0,,Yes,SIPRI,Oryx,,"SIPRI Comments: ""Delivery probably planned from 2023"""
431,Europe,Poland,United States,MQ-9A Reaper,UAV,,2022.0,,2022.0,Yes,SIPRI,Oryx,,"SIPRI Comments: ""Secondhand; $71m lease; leasing MQ-9A until purchase/delivery of MQ-9B"""
432,Europe,Romania,Israel,Hermes-450,UAV,,2022.0,,,Pending,SIPRI,Janes,Elbit Systems,"SIPRI Comments: ""Watchkeeper X version; produced under license in Romania"" "
433,Europe,Russia,Iran,Mohajer-6 ,Armed UAV,,2022.0,,2022.0,Yes,SIPRI,,,"SIPRI Comments: ""Bought for use against Ukraine"""
434,Europe,Russia,Iran,Shahed-136,Loitering Munition,,2022.0,,2022.0,Yes,SIPRI,Oryx,RUSI,Bought for use against Ukraine; Russian designation Geran-2; RUSI reports first sightings in September 2022
435,Indo-Pacific,Singapore,Israel,Orbiter 4,UAV,,2022.0,,,Pending,SIPRI,Straits Times,,"From The Straits Times: ""MG Khong said the delivery of Orbiter 4 close-range unmanned aerial vehicles has been delayed, and the RSAF is working on a suitable delivery timeline."""
436,Indo-Pacific,Taiwan,United States,MQ-9B SeaGuardian ,UAV,,2022.0,,,Pending,SIPRI,,,"SIPRI Comments: ""TWD 17b ($546m) deal; MQ-9B SeaGuardian MP version; delivery planned from 2025"""
437,Indo-Pacific,Thailand,Austria,Camcopter S-100,UAV,,2022.0,,,Pending,SIPRI,Shephard Media,,
438,Indo-Pacific,Thailand,Israel,Hermes-900,UAV,,2022.0,,,Pending,SIPRI,,,"SIPRI Comments: ""THB 4b ($107m) deal"""
439,Europe,Ukraine,Czechia,One 150,UAV,,2022.0,,2022.0,Yes,SIPRI,,,"SIPRI Comments: ""Financed by aid from Luxemburg after 2022 Russian invasion of Ukraine"""
440,Europe,Ukraine,Norway,Black Hornet,UAV,,2022.0,,2022.0,Yes,Oryx,Defense Post,Popular Mechanics,
441,Europe,Ukraine,Poland,Warmate,Loitering Munition,,2022.0,,2022.0,Yes,SIPRI,,,"SIPRI Comments: ""Aid after 2022 Russian invasion of Ukraine; incl. some financed by Lithuania"" "
442,Europe,Ukraine,Turkey,Bayraktar TB-2,Armed UAV,,2022.0,,2022.0,Yes,SIPRI,,,"SIPRI Comments: ""Aid after 2022 Russian invasion of Ukraine; originally to be funded by Lithuanian, Polish, and Ukrainian private aid but instead donated by producer"""
443,Europe,Ukraine,United States,RQ-20 Puma,UAV,,2022.0,,2022.0,Yes,Oryx,Breaking Defense,,"From Breaking Defense: ""Through security aid packages, the Pentagon has sent hundreds of the company’s Switchblade suicide drones — both the smaller 300 version and the larger 600 version — to Ukraine, along with AeroVironment’s bigger Puma surveillance UAV."" "
444,Europe,Ukraine,United States,ScanEagle,UAV,,2022.0,,2022.0,Yes,SIPRI,,,"SIPRI Comments: ""Secondhand; aid after 2022 Russian invasion of Ukraine"" "
445,Europe,Ukraine,United States,Switchblade 300,Loitering Munition,,2022.0,,2022.0,Yes,Oryx,Breaking Defense,,"From Breaking Defense: ""Through security aid packages, the Pentagon has sent hundreds of the company’s Switchblade suicide drones — both the smaller 300 version and the larger 600 version — to Ukraine, along with AeroVironment’s bigger Puma surveillance UAV."" "
446,Europe,Ukraine,United States,Switchblade 600,Loitering Munition,,2022.0,2022.0,2023.0,Yes,SIPRI,Oryx,,Oryx reports delivered in 2022; SIPRI reports delivery in 2023
447,Europe,Ukraine,United States,Phoenix Ghost,Loitering Munition,,2022.0,2022.0,,Yes,SIPRI,,,"SIPRI Comments: ""Aid after 2022 Russian invasion of Ukraine"""
448,Europe,Ukraine,Australia,Drone40,Loitering Munition,,2022.0,,,Pending,Army Recognition,COBBS Industries,,
449,Europe,Ukraine,United States,Altius-600,UAV,,2022.0,,,Pending,Oryx,,,
450,Europe,Ukraine,United States,CyberLux K8,UAV,,2022.0,,,Pending,Oryx,,,
451,Europe,Ukraine,United States,Jump 20,UAV,,2022.0,,,Pending,Oryx,,,
452,Central,United Arab Emirates,Turkey,Bayraktar TB-2,Armed UAV,2021.0,2022.0,,,Pending,SIPRI,Atlantic Council,,
453,Central,Uzbekistan,Turkey,Bayraktar TB-2,Armed UAV,,2022.0,2023.0,2023.0,Yes,SIPRI,,,
454,Central,Uzbekistan,United States,RQ-20 Puma 3 AE,UAV,,2022.0,,,Interest,Sach Khabrain,Shepard Media,KUN.UZ,"From KUN.UZ: According to the press service of the Defense Ministry, Uzbek specialists are showing a certain interest in American drones. “However, to date, there is no talk of acquiring a PUMA RQ-20B Puma 3 AE UAV,” the report reads."
455,Central,Afghanistan (Taliban),China,Blowfish ,UAV,,2023.0,,,Interest,The Economic Times ,AEI Report,,
456,Africa,Algeria,Turkey,ANKA-S,Armed UAV,2021.0,2023.0,,,Pending,SIPRI,Crisis Group,Military Africa,Purchased in response to Morocco's 2021 acquisition of Turkish drones; interest/discussion began 2021–2022
457,Africa,Angola,Turkey,Askungur,Armed UAV,2021.0,2023.0,,,Pending,Military Africa,DefenseWeb,,
458,Africa,Chad,Turkey,ANKA-S,Armed UAV,,2023.0,2023.0,2023.0,Yes,SIPRI,Military Africa,Turkish News,Janes
459,Africa,Democratic Republic of the Congo (DRC),China,CH-4B,Armed UAV,,2023.0,2023.0,,Yes,Military Africa,The Diplomat,,Remaining 6 drones to be delivered by end of 2023; likely CH-4B version 
460,Europe,Estonia,Israel,Mini Harpy ,Loitering Munition,,2023.0,,,Pending,SIPRI,Janes,,First deliveries expected in 2024
461,Europe,France,United States,Switchblade 300,Loitering Munition,2022.0,2023.0,,,Pending,Defense News,AeroVironment,,
462,Europe,Greece,Israel,Orbiter 3,UAV,,2023.0,,,Pending,SIPRI,Shepard Media,,
463,Europe,Hungary,Germany,HERO,Loitering Munition,,2023.0,,,Pending,Defense News,,,Rheinmetall markets in Europe in conjunction with Israeli firm UVision
464,Europe,Hungary,Israel,Hero-30,Loitering Munition,,2023.0,,,Pending,SIPRI,,,"SIPRI Comments: ""Delivery planned 2024–2025; from Italian production line"""
465,Indo-Pacific,India,United States,MQ-9B Reaper,Armed UAV,2018.0,2023.0,,,Pending,SIPRI,Bloomberg,Economic Times,"SIPRI Comments: ""Incl. 15 SeaGuardian and 16 SkyGuardian versions; incl. assembly or production under license of 21 in India; selected 2023 but not yet ordered by end of 2023"""
466,Indo-Pacific,Indonesia,Spain,Alpha 900,UAV,,2023.0,,,Pending,Alpha,,,
467,Indo-Pacific,Indonesia,Turkey,ANKA,Armed UAV ,2017.0,2023.0,,,Pending,SIPRI,Janes,AP,
468,Europe,Kosovo,Turkey,Bayraktar TB-2,Armed UAV,,2023.0,,2023.0,Yes,SIPRI ,Oryx,,
469,Central,Kuwait,Turkey,Bayraktar TB-2,Armed UAV,2019.0,2023.0,,,Pending,SIPRI,Oryx,Baykar,"SIPRI Comments: ""$370m deal""; the TB-2's were first tested in Kuwait in 2019"
470,Indo-Pacific,Malaysia,Turkey,ANKA-S,UAV,2022.0,2023.0,,,Pending,SIPRI ,Janes,Oryx,"Decided on the ANKA following evaluation of SeaGuardian (USA) and Wing Loong I (PRC); MYR 424m ($92m) deal; 
SIPRI Comments: ""delivery planned 2025"""
471,Europe,Montenegro,Slovenia,Belin,UAV,,2023.0,,,Pending,Janes,,,Joint production agreement with Slovenia 
472,Europe,Netherlands,United States,MQ-9A Reaper,Armed UAV,,2023.0,,,Pending,SIPRI,The Defense Post,,"SIPRI Comments: ""$611m (incl. 3 ground-based control systems); MQ-9A Block-5 version; delivery planned 2026"""
473,Europe,Poland,United States,MQ-9B SkyGuardian ,UAV,2022.0,2023.0,,,Pending,Oryx,AIN Online,Defense News,Leasing MQ-9A until purchase/delivery of MQ-9B
474,Europe,Romania,Turkey,Bayraktar TB-2,Armed UAV,2022.0,2023.0,,,Pending,SIPRI,Oryx,Defense News,"SIPRI Comments: ""$300m deal; selected but contract not yet signed by end of 2022"""
475,Central,Saudi Arabia,Turkey,Akinci,Armed UAV,,2023.0,,,Pending,SIPRI,Oryx,Defense News,"SIPRI Comments: ""Part of $3b deal (incl. other UAV and arms); incl. production of components or production under license in Saudi Arabia""; Oryx reports already in operation"
476,Europe,Serbia,China,CH-95,Armed UAV,,2023.0,2023.0,,Yes,Oryx,Ekapija,South China Morning Post,
477,Europe,Serbia,UAE,RW-24,Loitering Munition,2023.0,2023.0,,,Pending,Balkan Insight,Janes,,
478,Europe,Ukraine,Germany,Luna NG,UAV,,2023.0,,2023.0,Yes,SIPRI,Oryx,,"SIPRI Comments: ""Aid after 2022 Russian invasion of Ukraine; delivery planned 2023"""
479,Europe,Ukraine,United States,Penguin,UAV,,2023.0,2023.0,,Yes,SIPRI,,,"SIPRI Comments: ""Secondhand; aid after 2022 Russian invasion of Ukraine"""
480,Europe,United Kingdom,Austria,Camcopter S-100,UAV,,2023.0,,,Pending,SIPRI,Naval News,,"SIPRI Comments: ""20m GBP ($24m) Peregrine program; for use on Type-26 frigates; delivery planned 2024"""
481,North America,United States,Spain,Alpha 900,UAV,,2023.0,,,Pending,Alpha,,,
482,Africa,Algeria,United States,MQ-9 Reaper,Armed UAV,2013.0,,,2014.0,No,Middle East Monitor,North Africa Post,DefenceWeb,"From Middle East Monitor: ""The United States has refused to sell drones to Algeria due to legal restrictions on the export of similar weapons to other countries, its ambassador in Algiers has said."""
483,Africa,Algeria,China,CH-4B,Armed UAV,,,,2020.0,Yes,Oryx,Global Defense Corp,,Crashes reported in 2020
484,Africa,Algeria,China,ASN-209,UAV,,,,2022.0,Yes,Oryx,Military Africa,,"Crash reported in 2022, may have acquired earlier"
485,Africa,Algeria,Iran,Unnamed System,UAV,,,,2022.0,Additional Sources Required,North Africa Post,The Defense Post,,Defense Post suggests the transfer occurred in 2022 based on statements by Omar Mansour 
486,Africa,Algeria,China,WZ-7 Xianglong ,Armed UAV,2014.0,,,,Interest,Defense Web,,,
487,Africa,Angola,Israel,Aerostar,UAV,,,,2003.0,Yes,Defense Web,Drone Wars,,"From DefenseWeb: ""Angola has previously used another Israeli company to supply UASs. In 2003, Aeronautics Defense Systems supplied its Aerostar UAS to patrol oil installations for Chevron/Texaco over a two-year period. The contract was reportedly worth $4m USD, according to E&P Magazine."""
488,Africa,Angola,Israel,Heron I ,UAV,2011.0,,,,Interest,Defense Web,,,
489,Europe,Armenia,Russia,Orlan-10,UAV,,,,2020.0,Yes,Oryx,,,Received from Russia during the 2020 Nagorno-Karabakh War
490,Europe,Armenia,Russia,Gryphon-12,UAV,,,,2021.0,Yes,Oryx,,,
491,Europe,Armenia,Russia,Supercam S350,UAV,,,,2022.0,Yes,Oryx,,,Armenian indigenous copy UL-350
492,Europe,Armenia,India,Rustom II,UAV,2022.0,,,,Interest,Civilnet,TurDef,,
493,Indo-Pacific,Australia,United States,PD-100 Black Hornet 2,UAV,,,,2017.0,Yes,CSD Drone Databook,,,
494,Europe,Austria,France,Tracker,UAV,,,,2016.0,Yes,CSD Drone Databook,,,
495,Europe,Azerbaijan,Turkey,Bayraktar TB-2,Armed UAV,,,,2020.0,Yes,SIPRI,Times Aerospace,,"SIPRI Comments: ""24 units acquired immediately prior to outbreak of war"""
496,Europe,Azerbaijan,Turkey,Kargu,Loitering Munition,,,2020.0,2021.0,Yes,Oryx,Janes,,Janes reports photos from 2020 showing Kargu's in Azeri use. 
497,Europe,Azerbaijan,Russia,Lancet-1,Loitering Munition,,,,,Additional Sources Required,Army Recognition,,,
498,Indo-Pacific,Bangladesh,Slovenia,Bramor C4EYE,UAV,,,,2017.0,Yes,CSD Drone Databook,,,
499,Europe,Belarus,Russia,Irkut-10,UAV,,,,2011.0,Yes,Oryx,4Aviation,,
500,Europe,Belarus,Russia,Irkut-3,UAV,,,,2011.0,Yes,Oryx,4Aviation,,
501,Europe,Belarus,Russia,Orlan-10,UAV,,,,2022.0,Yes,Oryx,,,"Belorussian designation ""Busel"""
502,Europe,Belarus,Russia,Supercam S100,UAV,,,,2022.0,Yes,Oryx,,,
503,Europe,Belarus,Russia,Supercam S350,UAV,,,,2022.0,Yes,Oryx,,,
504,Europe,Belarus,Iran,Mohajer-6 ,Armed UAV,2023.0,,,,Interest,ISW,Al Monitor,Twitter,Defense agreement involving Shahed drone production in Belarus 
505,Europe,Belarus,Iran,Shahed,Loitering Munition,2023.0,,,,Interest,ISW,,,Defense agreement involving Shahed drone production in Belarus 
506,Europe,Belgium,United States,RQ-11 Raven,UAV,,,,2017.0,Yes,CSD Drone Databook,,,
507,Europe,Belgium,Austria,Camcopter S-100,UAV,2018.0,,,,Interest,ODIN,Vertical ,,"From ODIN: ""In 2018, the Belgian Navy conducted a weeks-long testing of the Camcopter, assessing its utility for maritime surveillance and search and rescue."""
508,Africa,Benin,China,NORINCO Type PMR-50,UAV,,,,2023.0,Yes,Military Africa,Government of Benin,,Donated to Benin by the Chinese government; can be equipped with grenade launchers; NORINCO Type PMR-50 
509,South America,Bolivia,South Korea,RemoEye-006,UAV,,,,2013.0,Yes,CSD Drone Databook,InfoDefensa ,,
510,South America,Bolivia,Iran,Unnamed System,UAV,2023.0,,,,Interest,AP,,,
511,Europe,Bosnia and Herzegovina,Turkey,Bayraktar TB-2,Armed UAV,2021.0,,,,Interest,Balkan Insight,Twitter,,
512,Africa,Botswana ,Israel,Silver Arrow,UAV,,,,2001.0,Additional Sources Required,Times Aerospace,Flight Global,,
513,South America,Brazil,Russia,Orlan-10E,UAV,2019.0,,,,Interest,Janes,,,
514,Europe,Bulgaria ,United States,Phoenix 30,UAV,,,,2014.0,Yes,CSD Drone Databook,UST,FlightGlobal,
515,Europe,Bulgaria ,United States,RQ-11B Raven,UAV,,,,2015.0,Yes,CSD Drone Databook,Sofia News Agency,,
516,Europe,Bulgaria ,Turkey,Bayraktar TB-2,Armed UAV,2020.0,,,,Interest,ProPublica,Bulgarian Military.com,,"From Bulgarian Military.com: ""According to the magazine, Sofia had this interest in 2020, but the coronavirus and the crisis with Kovid-19 failed the negotiations."""
